,id,original_title,imdb_id,genre_ids,genres,rating,popularity,release_date,budget,revenue,runtime,status,title
0,793992,Three Months,tt5322004,[18],['Drama'],NR-Manual,6.566,2022-02-23,0,0,0,Post Production,Three Months
1,929477,Heart Shot,tt17162546,[10749],['Romance'],PG-13,15.03,2022-02-17,0,0,19,Released,Heart Shot
2,937688,Temporal Fate,,"[9648, 10749, 18]","['Mystery', 'Romance', 'Drama']",NR,2.744,2022-02-03,100,0,7,Released,Temporal Fate
3,920345,EMPATHY (Or: The Girl with The Pearled Hair),,[18],['Drama'],NR,1.988,2022-01-25,20000,0,19,Released,EMPATHY (Or: The Girl with The Pearled Hair)
4,641934,Am I Ok?,tt11225626,"[18, 35]","['Drama', 'Comedy']",NR-Manual,5.086,2022-01-24,0,0,86,Released,Am I Ok?
5,914281,Starfuckers,tt16409584,[18],['Drama'],NR-Manual,2.018,2022-01-22,0,0,14,Released,Starfuckers
6,927872,Outside,tt11027836,[18],['Drama'],NR-Manual,5.261,2022-01-16,0,0,85,Released,Outside
7,756044,Egghead & Twinkie,tt13242416,"[35, 18]","['Comedy', 'Drama']",NR-Manual,0.938,2022-01-01,0,0,120,Released,Egghead & Twinkie
8,723377,The Scary of Sixty-First,tt12226872,"[53, 27, 9648]","['Thriller', 'Horror', 'Mystery']",NR,11.089,2021-12-17,0,0,81,Released,The Scary of Sixty-First
9,915164,TWO BEERS,,[35],['Comedy'],R,1.4,2021-12-10,750,300,6,Released,TWO BEERS
10,900528,The Higher Spirit,tt13521264,"[10751, 10749, 18, 35]","['Family', 'Romance', 'Drama', 'Comedy']",NR-Manual,0.973,2021-12-05,0,0,0,Released,The Higher Spirit
11,810873,Single All the Way,tt14315756,"[10749, 35, 18]","['Romance', 'Comedy', 'Drama']",NR-Manual,87.753,2021-12-02,0,0,99,Released,Single All the Way
12,805973,Christmas at the Ranch,tt13632182,"[10749, 35]","['Romance', 'Comedy']",NR-Manual,10.969,2021-12-01,0,0,0,Released,Christmas at the Ranch
13,672816,Cicada,tt8998768,"[18, 10749]","['Drama', 'Romance']",NR-Manual,4.367,2021-10-29,0,0,94,Released,Cicada
14,849348,Kendra and Beth,tt13198192,"[18, 35, 10749, 14]","['Drama', 'Comedy', 'Romance', 'Fantasy']",NR-Manual,1.346,2021-10-23,0,0,82,Released,Kendra and Beth
15,820645,So Vam,tt14489988,"[27, 18]","['Horror', 'Drama']",NR-Manual,1.112,2021-10-09,12,0,73,Released,So Vam
16,896375,Phases,tt13864828,[27],['Horror'],NR-Manual,1.347,2021-10-01,0,0,3,Released,Phases
17,890495,$500K,tt14914994,[18],['Drama'],NR-Manual,0.994,2021-10-01,0,0,20,Released,$500K
